Initial,,,
5863110.0,,,
Second,Value,Gap,
1,20,-99.99963145834695,
2,21,-99.99961303126432,
3,24,-99.99955775001635,
4,10,-99.99981572917348,
5,12,-99.99977887500818,
6,2,-99.9999631458347,
7,9,-99.99983415625613,
8,3,-99.99994471875205,
9,15,-99.99972359376022,
10,7,-99.99987101042144,
15,0,-100.0,
20,13,-99.99976044792552,
25,8,-99.9998525833388,
30,19,-99.9996498854296,
35,5,-99.99990786458675,
40,18,-99.99966831251227,
45,17,-99.99968673959492,
50,14,-99.99974202084287,
55,4,-99.9999262916694,
60,23,-99.999576177099,
