Initial,,,
4163285.666666667,,,
Second,Value,Gap,
0,4163285.666666667,8.951597110001819,
1,4021153.333333334,5.2320481869906565,
2,4018604.0,5.165333106529979,
3,3975501.666666667,4.037361491842728,
4,3975017.3333333335,4.024686673339928,
5,3967922.666666667,3.8390219541290183,
6,3955025.3333333335,3.50150366265618,
7,3937597.0,3.045410830296569,
8,3919346.666666667,2.56780657162734,
9,3919346.666666667,2.56780657162734,
10,3918745.666666667,2.552078630980037,
15,3918745.666666667,2.552078630980037,
20,3910683.666666667,2.3410991675880677,
25,3894464.333333333,1.9166454038517244,
30,3894398.6666666665,1.914926932244665,
35,3868180.333333333,1.228803154311331,
40,3868180.333333333,1.228803154311331,
45,3868180.333333333,1.228803154311331,
50,3868180.333333333,1.228803154311331,
55,3863797.333333333,1.1141017169450373,
60,3863797.333333333,1.1141017169450373,
