Initial,,,
10870166.666666668,,,
Second,Value,Gap,
0,10870166.666666668,7.442738609827604,
1,10445478.0,3.245037249539684,
2,10445478.0,3.245037249539684,
3,10397084.0,2.7667019993334208,
4,10328519.0,2.088992852943483,
5,10327823.666666668,2.08212004962125,
6,10327823.666666668,2.08212004962125,
7,10327823.666666668,2.08212004962125,
8,10323918.666666668,2.04352230709004,
9,10323918.666666668,2.04352230709004,
10,10323918.666666668,2.04352230709004,
15,10322367.333333334,2.0281886413844985,
20,10322367.333333334,2.0281886413844985,
25,10322367.333333334,2.0281886413844985,
30,10313737.0,1.9428848298714385,
35,10303645.0,1.8431336345769322,
40,10303645.0,1.8431336345769322,
45,10303645.0,1.8431336345769322,
50,10300709.0,1.8141136673370806,
55,10300709.0,1.8141136673370806,
60,10298415.666666666,1.7914459363413515,
