Initial,,,
648201132.6666666,,,
Second,Value,Gap,
0,648201132.6666666,29.926938126674596,
1,435837844.0,-12.63965189679579,
2,436787360.3333334,-12.449328641136326,
3,437179267.3333333,-12.370773893274457,
4,437107828.3333333,-12.385093292092309,
5,437200163.3333334,-12.366585450579315,
6,437742664.33333325,-12.257845292149373,
7,437998515.0,-12.20656199123793,
8,438141436.6666666,-12.177914440954329,
9,438552502.3333334,-12.09551948551929,
10,438625654.66666675,-12.080856662195105,
15,438714388.66666675,-12.063070613472393,
20,438855886.3333334,-12.03470849305086,
25,439094458.0,-11.986888634967219,
30,439284341.3333334,-11.948827979318876,
35,439402044.33333325,-11.9252353170608,
40,439495407.6666666,-11.906521354029909,
45,439459933.6666666,-11.913631844849547,
50,439230402.33333325,-11.959639637556496,
55,439635542.0,-11.878432503303094,
60,439815598.0,-11.842341661136413,
