Initial,,,
15695992.666666666,,,
Second,Value,Gap,
0,15695992.666666666,16.273640441279014,
1,15693830.0,16.257619719829,
2,15675120.666666668,16.119023688147884,
3,15656050.0,15.97775095146492,
4,15655224.666666664,15.971637001663685,
5,15637680.0,15.841668651971851,
6,15625056.666666664,15.748156826862015,
7,15618930.666666668,15.702776306083898,
8,15610716.666666668,15.641928183708487,
9,15595197.333333336,15.526963210023181,
10,15595197.333333336,15.526963210023181,
15,15561375.333333336,15.276414732426314,
20,15524143.333333336,15.000605468695994,
25,15455556.666666668,14.492525375360966,
30,15415405.333333336,14.195090113101184,
35,15393622.0,14.033722334624077,
40,15306727.333333332,13.390019228816596,
45,15207352.666666668,12.65386609047383,
50,15204891.333333336,12.635632889612713,
55,15173779.333333332,12.405159699529488,
60,15160446.0,12.306388297248194,
