Initial,,,,
5834777.0,,,,
Initial,,,
5890286.0,,,
Second,Value,Gap,
Initial,,,
5922927.0,,,
Second,Value,Gap,
Initial,,,
6163672.0,,,
Second,Value,Gap,
0,5565719.0,0.025599640303346716,
5,5565719.0,0.025599640303346716,
10,5565719.0,0.025599640303346716,
15,5504041.0,0.014234184265298433,
20,5504041.0,0.014234184265298433,
25,5504041.0,0.014234184265298433,
30,5504041.0,0.014234184265298433,
35,5504041.0,0.014234184265298433,
40,5504041.0,0.014234184265298433,
45,5504041.0,0.014234184265298433,
50,5504041.0,0.014234184265298433,
55,5504041.0,0.014234184265298433,
Initial,,,
5875837.0,,,
Second,Value,Gap,
5,5520007.0,1.7176252281503102,
10,5520007.0,1.7176252281503102,
15,5518713.0,1.693780583198734,
20,5507935.0,1.4951734863764,
25,5507736.0,1.4915064969286629,
30,5501623.0,1.3788617406775172,
35,5501623.0,1.3788617406775172,
40,5501623.0,1.3788617406775172,
45,5501623.0,1.3788617406775172,
50,5501623.0,1.3788617406775172,
55,5484530.0,1.0638876169083211,
60,5484530.0,1.0638876169083211,
Initial,,,
5939867.333333333,,,
Second,Value,Gap,
0,5939867.333333333,9.456947508017489,
1,5571293.333333334,2.665047503042084,
2,5566080.333333334,2.5689849084859384,
3,5556734.333333334,2.396761427050742,
4,5541775.666666667,2.1211104907183698,
5,5528039.0,1.8679779680724984,
6,5521544.666666666,1.748303594408096,
7,5521544.666666666,1.748303594408096,
8,5521544.666666666,1.748303594408096,
9,5515913.666666667,1.6445383018806492,
10,5515913.666666667,1.6445383018806492,
15,5515913.666666667,1.6445383018806492,
20,5513988.333333334,1.6090592081946076,
25,5506877.0,1.4780150626443112,
30,5506877.0,1.4780150626443112,
35,5503344.666666667,1.412922965035035,
40,5503344.666666667,1.412922965035035,
45,5503344.666666667,1.412922965035035,
50,5503274.666666667,1.411633039537441,
55,5503274.666666667,1.411633039537441,
60,5503274.666666667,1.411633039537441,
