Initial,,,
4319319.333333333,,,
Second,Value,Gap,
0,4319319.333333333,13.134802850747839,
1,3973086.333333333,4.066012337129177,
2,3972947.666666667,4.062380277356659,
3,3964482.0,3.84064128206123,
4,3964482.0,3.84064128206123,
5,3927340.333333334,2.867799310537289,
6,3909999.666666667,2.4135997588871083,
7,3909965.0,2.4126917439439843,
8,3909965.0,2.4126917439439843,
9,3878327.666666667,1.5840233373809909,
10,3875249.666666667,1.5034020875263732,
15,3875249.666666667,1.5034020875263732,
20,3874916.0,1.4946624436987133,
25,3874916.0,1.4946624436987133,
30,3874916.0,1.4946624436987133,
35,3874916.0,1.4946624436987133,
40,3873132.666666667,1.4479520596049067,
45,3873132.666666667,1.4479520596049067,
50,3873132.666666667,1.4479520596049067,
55,3873132.666666667,1.4479520596049067,
60,3873132.666666667,1.4479520596049067,
