Initial,,,
5863110.0,,,
Second,Value,Gap,
1,20,-99.99963145834695,
2,21,-99.99961303126432,
3,24,-99.99955775001635,
4,10,-99.99981572917348,
5,12,-99.99977887500818,
6,2,-99.9999631458347,
7,9,-99.99983415625613,
8,3,-99.99994471875205,
9,15,-99.99972359376022,
10,7,-99.99987101042144,
15,0,-100.0,
20,13,-99.99976044792552,
25,8,-99.9998525833388,
30,19,-99.9996498854296,
35,5,-99.99990786458675,
40,18,-99.99966831251227,
45,17,-99.99968673959492,
50,14,-99.99974202084287,
55,4,-99.9999262916694,
60,23,-99.999576177099,
Initial,,,
5863110.0,,,
Second,Value,Gap,
0,5863110.0,8.04001256727036,
1,5662401.333333333,4.341537377647997,
2,5589930.0,3.006102128420185,
3,5568434.333333334,2.6099997020955,
4,5566474.666666667,2.5738887624586315,
5,5556569.666666667,2.3913685087914027,
6,5556569.666666667,2.3913685087914027,
7,5555541.333333333,2.3724193254643478,
8,5555541.333333333,2.3724193254643478,
9,5555541.333333333,2.3724193254643478,
10,5555541.333333333,2.3724193254643478,
15,5555541.333333333,2.3724193254643478,
20,5555541.333333333,2.3724193254643478,
25,5555541.333333333,2.3724193254643478,
30,5555541.333333333,2.3724193254643478,
35,5554559.666666667,2.3543300726610594,
40,5550552.333333334,2.280486610113952,
45,5543548.0,2.15141718085905,
50,5543379.333333334,2.14830914625177,
55,5543379.333333334,2.14830914625177,
60,5542337.0,2.1291019837675895,
Initial,,,
5987205.333333334,,,
Second,Value,Gap,
0,5987205.333333334,10.326727531320667,
1,5746300.333333333,5.887551185061035,
2,5668674.333333334,4.457130467123482,
3,5660811.333333334,4.312238316231487,
4,5660811.333333334,4.312238316231487,
5,5657669.333333334,4.25434042253916,
6,5645202.666666667,4.0246161254786195,
7,5645202.666666667,4.0246161254786195,
8,5645202.666666667,4.0246161254786195,
9,5630246.0,3.7490083926147832,
10,5603290.333333333,3.252294095010644,
15,5603290.333333333,3.252294095010644,
20,5579500.666666666,2.8139199410824656,
25,5579500.666666666,2.8139199410824656,
30,5575235.0,2.7353161488502975,
35,5575235.0,2.7353161488502975,
40,5561397.666666666,2.4803344638348435,
45,5561397.666666666,2.4803344638348435,
50,5561397.666666666,2.4803344638348435,
55,5561397.666666666,2.4803344638348435,
60,5561397.666666666,2.4803344638348435,
