Initial,,,
5871294.333333334,,,
Second,Value,Gap,
0,5871294.333333334,8.992504441501925,
1,5568605.0,3.373493260197602,
2,5568605.0,3.373493260197602,
3,5549575.0,3.020227482369653,
4,5549575.0,3.020227482369653,
5,5549575.0,3.020227482369653,
6,5547739.333333333,2.9861508553159055,
7,5545470.0,2.944023803022122,
8,5539750.0,2.8378398698021723,
9,5525440.0,2.5721944005053787,
10,5525440.0,2.5721944005053787,
15,5521631.0,2.50148555406573,
20,5517634.333333333,2.427292934059455,
25,5516725.0,2.410412411342455,
30,5516725.0,2.410412411342455,
35,5516725.0,2.410412411342455,
40,5516725.0,2.410412411342455,
45,5516725.0,2.410412411342455,
50,5504238.666666666,2.1786208056031375,
55,5504238.666666666,2.1786208056031375,
60,5493615.0,1.981407044784178,
