Initial,,,
4180450.666666667,,,
Second,Value,Gap,
0,4180450.666666667,10.534162655608114,
1,3957048.333333333,4.627242129740772,
2,3952951.0,4.518905649960714,
3,3951404.333333333,4.478010655966269,
4,3951404.333333333,4.478010655966269,
5,3940338.333333333,4.185417550227677,
6,3929934.333333333,3.9103282070048095,
7,3929934.333333333,3.9103282070048095,
8,3907915.666666667,3.328138611466902,
9,3907915.666666667,3.328138611466902,
10,3907915.666666667,3.328138611466902,
15,3901212.0,3.1508887786604323,
20,3901212.0,3.1508887786604323,
25,3900724.333333333,3.1379945165453726,
30,3900724.333333333,3.1379945165453726,
35,3888458.666666667,2.8136813497322333,
40,3876721.666666667,2.5033465149180367,
45,3876721.666666667,2.5033465149180367,
50,3876721.666666667,2.5033465149180367,
55,3874057.333333334,2.432899599616878,
60,3874057.333333334,2.432899599616878,
