Initial,,,
7822257.666666666,,,
Second,Value,Gap,
0,7822257.666666666,10.193471310586677,
1,7496718.333333334,5.6075434727709705,
2,7496030.333333334,5.597851500006534,
3,7361266.666666667,3.699412856157691,
4,7361266.666666667,3.699412856157691,
5,7350666.0,3.550079465724365,
6,7350666.0,3.550079465724365,
7,7350666.0,3.550079465724365,
8,7350666.0,3.550079465724365,
9,7350666.0,3.550079465724365,
10,7350666.0,3.550079465724365,
15,7350666.0,3.550079465724365,
20,7317724.333333333,3.0860246166716676,
25,7317724.333333333,3.0860246166716676,
30,7317724.333333333,3.0860246166716676,
35,7317436.333333333,3.0819675117935486,
40,7317436.333333333,3.0819675117935486,
45,7312839.666666666,3.0172134883335033,
50,7312839.666666666,3.0172134883335033,
55,7307281.0,2.9389076076069554,
60,7307281.0,2.9389076076069554,
