Initial,,,
317150.6666666667,,,
Second,Value,Gap,
0,317150.6666666667,41.32266267408147,
1,270821.3333333333,20.678264176053986,
2,266208.6666666667,18.622855173724993,
3,265418.0,18.270533295308724,
4,265418.0,18.270533295308724,
5,264705.3333333334,17.952968296972305,
6,264705.3333333334,17.952968296972305,
7,264705.3333333334,17.952968296972305,
8,264705.3333333334,17.952968296972305,
9,261852.0,16.681520034222164,
10,261618.66666666663,16.577546461333693,
15,258576.0,15.221731070868394,
20,258576.0,15.221731070868394,
25,258576.0,15.221731070868394,
30,258576.0,15.221731070868394,
35,256162.0,14.146050192499636,
40,254818.0,13.547162412662207,
45,253892.6666666667,13.134832929321739,
50,253321.33333333334,12.880246209420608,
55,253321.33333333334,12.880246209420608,
60,253321.33333333334,12.880246209420608,
