Initial,,,
84244989.33333333,,,
Second,Value,Gap,
0,84244989.33333333,113.46800819546301,
1,51974312.33333333,31.69748158227421,
2,49628836.0,25.754289410153454,
3,47058850.0,19.242213180438085,
4,45901959.33333333,16.310773004974234,
5,45901959.33333333,16.310773004974234,
6,44665359.0,13.177356855486222,
7,44665359.0,13.177356855486222,
8,44665359.0,13.177356855486222,
9,44396217.0,12.495379124627748,
10,44396217.0,12.495379124627748,
15,44396217.0,12.495379124627748,
20,44396217.0,12.495379124627748,
25,43370587.666666664,9.896541464773257,
30,43304889.666666664,9.730069591331203,
35,43304889.666666664,9.730069591331203,
40,43304889.666666664,9.730069591331203,
45,43304889.666666664,9.730069591331203,
50,43304889.666666664,9.730069591331203,
55,43304889.666666664,9.730069591331203,
60,43304889.666666664,9.730069591331203,
