3Initial,,,
805665151.3333334,,,
Second,Value,Gap,
0,805665151.3333334,75.59445699085062,
1,382561456.3333334,-16.620855352489194,
2,396308325.0,-13.624729809696346,
3,406555311.6666666,-11.391402407427497,
4,413645858.33333325,-9.84602007378541,
5,412764998.0,-10.038003296170606,
6,421444893.66666675,-8.146222866294483,
7,425079111.0,-7.354146383679739,
8,426662049.6666666,-7.009145417505202,
9,428582299.0,-6.5906277015338794,
10,431169959.0,-6.026648048417482,
15,424927927.66666675,-7.387096741876043,
20,426499684.0,-7.044532961604766,
25,428795014.0,-6.544266536654164,
30,428073494.3333334,-6.701521512703302,
35,433103437.0,-5.605247148860282,
40,433452191.0,-5.529236328295384,
45,429034600.0,-6.492048846087572,
50,431424944.0,-5.971074150822786,
55,428190560.3333334,-6.676007016180674,
60,430130537.0,-6.253189734342824,
