Initial,,,
2825318.0,,,
Second,Value,Gap,
0,2825318.0,52.232090900078006,
1,2767044.0,49.09220616317012,
2,2767044.0,49.09220616317012,
3,2767044.0,49.09220616317012,
4,2717870.666666667,46.44267809239728,
5,2612713.3333333335,40.77665369202541,
6,2548920.0,37.33937954489615,
7,2548920.0,37.33937954489615,
8,2548920.0,37.33937954489615,
9,2548920.0,37.33937954489615,
10,2451176.6666666665,32.072831848361915,
15,2093616.6666666667,12.806998259989966,
20,2093616.6666666667,12.806998259989966,
25,2093616.6666666667,12.806998259989966,
30,2093616.6666666667,12.806998259989966,
35,2093616.6666666667,12.806998259989966,
40,2093616.6666666667,12.806998259989966,
45,2093616.6666666667,12.806998259989966,
50,2093616.6666666667,12.806998259989966,
55,2093616.6666666667,12.806998259989966,
60,2093616.6666666667,12.806998259989966,
